univeristy_name,course_type,univeristy_code,course,key,course_code
Bangor University,4FT Hon MBiol,B06,Marine Zoology,B06-C352,C352
Barony College,1FT HNC,B12,Agriculture,B12-004D,004D
Barony College,2FT HND,B12,Animal Care,B12-023D,023D
Barony College,1FT HNC,B12,Animal Care,B12-823D,823D
Barony College,1FT HNC,B12,Animal Nursing,B12-113D,113D
Barony College,1FT HNC,B12,Fish Farming,B12-134D,134D
Barony College,2FT HND,B12,Veterinary Nursing,B12-013D,013D
Coleg Sir Gar / Carmarthenshire College,2FT Fdg FdSc,C22,Care Practice,C22-L590,L590
Coleg Sir Gar / Carmarthenshire College,2FT HND,C22,Computing (Software Engineering),C22-006H,006H
Coleg Sir Gar / Carmarthenshire College,2FT HND,C22,Electrical/Electronic Engineering,C22-606H,606H
Coleg Sir Gar / Carmarthenshire College,1FT Hon BSc,C22,Information Systems (Top-up,C22-G500,G500
Coleg Sir Gar / Carmarthenshire College,2FT HND,C22,Management and Business,C22-21NN,21NN
Coleg Sir Gar / Carmarthenshire College,3FT Hon BA,C22,Management and Business,C22-N200,N200
Coleg Sir Gar / Carmarthenshire College,1FT Deg BA,C22,Management and Business (Top-up),C22-NN2C,NN2C
Coleg Sir Gar / Carmarthenshire College,2FT HND,C22,Mechanical/Manufacturing Engineering,C22-37HH,37HH
Coleg Sir Gar / Carmarthenshire College,2FT Fdg FdSc,C22,Sports Coaching and Performance,C22-CX61,CX61
University of Brighton,3FT Hon BA,B72,Politics and Applied Psychology,B72-CL82,CL82
"University of the West of England, Bristol",2FT Fdg FdSc,B80,Equine Science,B80-D426,D426
University of Central Lancashire,3FT Hon BA,C30,Marketing Management with Digital Media,C30-0951,0951
"University of the West of England, Bristol",2FT Fdg FdA,B80,Outdoor Adventure Management,B80-N871,N871
Cardiff University,3FT Hon BA,C15,Ancient History/Cultural Criticism,C15-LV91,LV91
Cardiff University,3FT Hon BA,C15,Archaeology/Cultural Criticism,C15-LV94,LV94
Cardiff University,3FT Hon BA,C15,Cultural Criticism/English Language,C15-LQ9H,LQ9H
Cardiff University,3FT Hon BA,C15,Cultural Criticism/English Literature,C15-LQ93,LQ93
Cardiff University,4FT Hon BA,C15,Cultural Criticism/French (4 years),C15-LR91,LR91
Cardiff University,4FT Hon BA,C15,Cultural Criticism/German (4 years),C15-LR92,LR92
Cardiff University,4FT Hon BA,C15,Cultural Criticism/Italian (4 years),C15-LR93,LR93
Cardiff University,3FT Hon BA,C15,Cultural Criticism/Music,C15-LW93,LW93
Cardiff University,3FT Hon BA,C15,Cultural Criticism/Philosophy,C15-LV95,LV95
